,ZIPCode,Type,County,Population,Area Code(s)
0,94102,Standard,San Francisco,"31,176",415 / 510
1,94103,Standard,San Francisco,"27,170",415 / 510 / 650
2,94104,Standard,San Francisco,406,415 / 510 / 650 / 628
3,94105,Standard,San Francisco,"5,846",415 / 510 / 650 / 628
4,94107,Standard,San Francisco,"26,599",415 / 510 / 650
5,94108,Standard,San Francisco,"13,768",415 / 510 / 628 / 650
6,94109,Standard,San Francisco,"55,984",415
7,94110,Standard,San Francisco,"69,333",415
8,94111,Standard,San Francisco,"3,713",415 / 510 / 628 / 650
9,94112,Standard,San Francisco,"79,407",415 / 510 / 650
10,94114,Standard,San Francisco,"31,124",415 / 628
11,94115,Standard,San Francisco,"33,021",415
12,94116,Standard,San Francisco,"43,698",415 / 628
13,94117,Standard,San Francisco,"39,169",415
14,94118,Standard,San Francisco,"38,319",415
15,94119,P.O. Box,San Francisco,0,628
16,94120,P.O. Box,San Francisco,0,628
17,94121,Standard,San Francisco,"41,203",415
18,94122,Standard,San Francisco,"56,023",415 / 628
19,94123,Standard,San Francisco,"23,088",415
20,94124,Standard,San Francisco,"33,996",415 / 510 / 628
21,94125,P.O. Box,San Francisco,0,628
22,94126,P.O. Box,San Francisco,0,628
23,94127,Standard,San Francisco,"19,289",415 / 650
24,94128,Standard,San Mateo,69,650
25,94129,Standard,San Francisco,"3,183",415
26,94130,Standard,San Francisco,"2,880",510
27,94131,Standard,San Francisco,"26,881",415 / 650
28,94132,Standard,San Francisco,"28,129",415 / 628
29,94133,Standard,San Francisco,"26,237",415
30,94134,Standard,San Francisco,"40,798",415 / 510 / 628
31,94137,Unique,San Francisco,0,628
32,94139,Unique,San Francisco,0,628
33,94140,P.O. Box,San Francisco,0,628
34,94141,P.O. Box,San Francisco,0,628
35,94142,P.O. Box,San Francisco,0,628
36,94143,Standard,San Francisco,0,628
37,94144,Unique,San Francisco,0,628
38,94145,Unique,San Francisco,0,628
39,94146,P.O. Box,San Francisco,0,628
40,94147,P.O. Box,San Francisco,0,628
41,94151,Unique,San Francisco,0,628
42,94158,Standard,San Francisco,"4,792",415 / 628
43,94159,P.O. Box,San Francisco,0,628
44,94160,Unique,San Francisco,0,628
45,94161,Unique,San Francisco,0,628
46,94163,Unique,San Francisco,0,628
47,94164,P.O. Box,San Francisco,0,628
48,94172,P.O. Box,San Francisco,0,628
49,94177,Unique,San Francisco,0,628
50,94188,Standard,San Francisco,0,628 / 415 / 650
