,Unnamed: 0,Unnamed: 0.1,ZIPCode,Type,County,Population,Area Code(s),Latitude,Longitude
0,0,0,94102,Standard,San Francisco,"31,176",415 / 510,37.7813,-122.4167
1,1,1,94103,Standard,San Francisco,"27,170",415 / 510 / 650,37.7725,-122.4147
2,2,2,94104,Standard,San Francisco,406,415 / 510 / 650 / 628,37.7915,-122.4018
3,3,3,94105,Standard,San Francisco,"5,846",415 / 510 / 650 / 628,37.7864,-122.3892
4,4,4,94107,Standard,San Francisco,"26,599",415 / 510 / 650,37.7621,-122.3971
5,5,5,94108,Standard,San Francisco,"13,768",415 / 510 / 628 / 650,37.7929,-122.4079
6,6,6,94109,Standard,San Francisco,"55,984",415,37.7917,-122.4186
7,7,7,94110,Standard,San Francisco,"69,333",415,37.7509,-122.4153
8,8,8,94111,Standard,San Francisco,"3,713",415 / 510 / 628 / 650,37.7974,-122.4001
9,9,9,94112,Standard,San Francisco,"79,407",415 / 510 / 650,37.7195,-122.4411
10,10,10,94114,Standard,San Francisco,"31,124",415 / 628,37.7587,-122.43299999999999
11,11,11,94115,Standard,San Francisco,"33,021",415,37.7856,-122.4358
12,12,12,94116,Standard,San Francisco,"43,698",415 / 628,37.7441,-122.4863
13,13,13,94117,Standard,San Francisco,"39,169",415,37.7712,-122.4413
14,14,14,94118,Standard,San Francisco,"38,319",415,37.7812,-122.4614
15,15,15,94119,P.O. Box,San Francisco,0,628,37.7749,-122.4194
16,16,16,94120,P.O. Box,San Francisco,0,628,37.7749,-122.4194
17,17,17,94121,Standard,San Francisco,"41,203",415,37.7786,-122.4892
18,18,18,94122,Standard,San Francisco,"56,023",415 / 628,37.7593,-122.4836
19,19,19,94123,Standard,San Francisco,"23,088",415,37.7999,-122.4342
